chunk,log_status,downloaded,error
0,error,"AD, CN-CHONGQING, DE-SCHLESWIG-HOLSTEIN, PL-WIELKOPOLSKIE, ZA","GB-WALES, MA"
1,success,"AF, CN-FUJIAN, DE-THUERINGEN, GE, MC, PL-ZACHODNIOPOMORSKIE, ZM",
2,error,"AL, CN-GANSU, DJ, MD, ZW","GF, PR"
3,error,"AM, CN-GUANGDONG, DK, ME, PS",GH
4,error,"AO, CN-GUANGXI, MG","DZ, GL, PT"
5,error,"CN-GUIZHOU, PW","AQ, EC, GN, MH"
6,error,"CN-HAINAN, EE, GQ, MK","AR, PY"
7,error,"AT, EG, GR","CN-HEBEI, ML, QA"
8,error,"AU-ACT, CN-HEILONGJIANG, ER, MM, RO",GT
9,error,"CN-HENAN, MN, RS","AU-ASHMORE-CARTIER, ES-ANDALUCIA, GW"
10,error,"AU-CHRISTMAS-ISLAND, RU-CENTRAL-FED-DISTRICT","CN-HONG-KONG, ES-ARAGON, GY, MR"
11,error,"AU-COCOS-ISLANDS, CN-HUBEI, MT, RU-CRIMEAN-FED-DISTRICT","ES-ASTURIAS, HN"
12,error,"AU-CORAL-SEA-ISLANDS, CN-HUNAN, HR, MU","ES-CANTABRIA, RU-FAR-EASTERN-FED-DISTRICT"
13,error,"CN-INNER-MONGOLIA, MV, RU-KALININGRAD","AU-HEARD-MCDONALD, ES-CASTILLA-LA-MANCHA, HT"
14,error,"AU-NEW-SOUTH-WALES, CN-JIANGSU, HU, MW","ES-CASTILLA-Y-LEON, RU-NORTH-CAUCASUS-FED-DISTRICT"
15,error,"AU-NORFOLK-ISLAND, CN-JIANGXI, ES-CATALUNA, ID-JAVA, RU-NORTHWESTERN-FED-DISTRICT",MX
16,error,"AU-NORTHERN-TERRITORY, CN-JILIN, ID-KALIMANTAN, MY, RU-SIBERIAN-FED-DISTRICT",ES-CEUTA
17,error,"AU-QUEENSLAND, CN-LIAONING, ID-MALUKU, MZ","ES-EXTREMADURA, RU-SOUTH-FED-DISTRICT"
18,error,"AU-SOUTH-AUSTRALIA, CN-MACAU, ID-NUSA-TENGGARA, NA, RU-URAL-FED-DISTRICT",ES-GALICIA
19,success,"AU-TASMANIA, CN-NINGXIA, ES-ISLAS-BALEARES, ID-PAPUA, NC, RU-VOLGA-FED-DISTRICT",
20,error,"AU-VICTORIA, ID-SULAWESI, NE","CN-QINGHAI, ES-LA-RIOJA, RW"
21,error,"AU-WESTERN-AUSTRALIA, CN-SHAANXI, ID-SUMATRA, NG, SB",ES-MADRID
22,error,"AZ, CN-SHANDONG, SC","ES-MELILLA, IE, NI"
